SongTitle,ArtistName,AlbumName,Rating,Time
The Sound of Silence,Simon & Garfunkel,Collected Works,1,188
Trying to Reason With Hurricane Season,Jimmy Buffett,A1A,1,262
Who Are You,The Who,Who's Greatest Hits,8,305
Wild West Hero,Electric Light Orchestra,All Over the World: The Very Best of Electric Light Orchestra,10,283
Will You Still Love Me?,Chicago,The Heart of Chicago 1967-1997,7,341
Yellow Submarine,The Beatles,1962-1966,6,157
Yesterday,The Beatles,1962-1966,10,125
Beginnings,Chicago,The Heart of Chicago 1967-1997,2,474
Cracklin' Rosie,Neil Diamond,The Essential Neil Diamond,8,179
Lookin' Out My Back Door,Creedence Clearwater Revival,Chronicle Vol 1,5,152
Revolution,The Beatles,1967-1970,1,203
Showdown,Electric Light Orchestra,All Over the World: The Very Best of Electric Light Orchestra,7,249
Sloop John B,The Beach Boys,20 Good Vibrations,9,178
The Long and Winding Road,The Beatles,1967-1970,0,217
Hard to Say I'm Sorry/Get Away,Chicago,The Heart of Chicago 1967-1997,6,305
Island,Jimmy Buffett,Coconut Telegraph,7,235
Long as I Can See the Light,Creedence Clearwater Revival,Chronicle Vol 1,2,214
Ma-Ma-Ma Belle,Electric Light Orchestra,All Over the World: The Very Best of Electric Light Orchestra,1,219
Play Me [Live],Neil Diamond,The Essential Neil Diamond,6,261
Roll On (Eighteen Wheeler),Alabama,For the Record Disc 1,7,224
Show Biz Kids,Steely Dan,Citizen,6,326
Wouldn't It Be Nice,The Beach Boys,20 Good Vibrations,2,144
A Pirate Looks at Forty,Jimmy Buffett,A1A,6,233
Good Vibrations,The Beach Boys,20 Good Vibrations,1,217
I Heard It Through the Grapevine,Creedence Clearwater Revival,Chronicle Vol 1,4,666
Morningside [Live],Neil Diamond,The Essential Neil Diamond,2,325
My Old School,Steely Dan,Citizen,8,346
Xanadu,Electric Light Orchestra,All Over the World: The Very Best of Electric Light Orchestra,2,201
409,The Beach Boys,20 Good Vibrations,3,120
Crunchy Granola Suite [Live],Neil Diamond,The Essential Neil Diamond,3,245
Feels Like the First Time,Foreigner,The Very Best And Beyond,9,229
Have You Ever Seen the Rain?,Creedence Clearwater Revival,Chronicle Vol 1,0,160
If You're Gonna Play in Texas (You Gotta Have a Fiddle in the Band),Alabama,For the Record Disc 1,9,202
Lovely Cruise,Jimmy Buffett,Changes in Latitudes Changes in Attitudes,3,234
Rockaria!,Electric Light Orchestra,All Over the World: The Very Best of Electric Light Orchestra,5,194
Stars Fell on Alabama,Jimmy Buffett,Coconut Telegraph,4,254
(There's A) Fire in the Night,Alabama,For the Record Disc 1,8,238
Brooklyn Roads [Live],Neil Diamond,The Essential Neil Diamond,3,329
God Only Knows,The Beach Boys,20 Good Vibrations,7,172
Hey Tonight,Creedence Clearwater Revival,Chronicle Vol 1,10,162
Strange Magic,Electric Light Orchestra,All Over the World: The Very Best of Electric Light Orchestra,3,250
Alright,Electric Light Orchestra,All Over the World: The Very Best of Electric Light Orchestra,7,192
Catch a Wave [Stereo],The Beach Boys,20 Good Vibrations,9,128
Soolaimon [#][Live],Neil Diamond,The Essential Neil Diamond,1,306
Forty Hour Week (For a Livin'),Alabama,For the Record Disc 1,6,201
Kokomo,The Beach Boys,20 Good Vibrations,0,216
Rock & Roll Is King,Electric Light Orchestra,All Over the World: The Very Best of Electric Light Orchestra,7,187
Can't Keep a Good Man Down,Alabama,For the Record Disc 1,2,219
Mrs. Robinson,Simon & Garfunkel,Collected Works,4,245
She and I,Alabama,For the Record Disc 1,7,216
I Am a Rock,Simon & Garfunkel,Collected Works,8,170
Banana Republics,Jimmy Buffett,Changes in Latitudes Changes in Attitudes,5,311
Biloxi,Jimmy Buffett,Changes in Latitudes Changes in Attitudes,9,340
Creola,Jimmy Buffett,Floridays,8,423
Dallas,Jimmy Buffett,A1A,2,206
Door Number Three,Jimmy Buffett,A1A,5,187
Floridays,Jimmy Buffett,Floridays,5,295
